,AVG_MXL,AVG_LMAT,AVG_AGEMAT,AVG_LONGY,AVG_FECUND,AVG_EGGSIZE,AVG_RGUILD,AVG_Troph
Gambusia_holbrooki,43.75,19.75,0.33,1.63,949.67,1.8,5,Omnivore
Gambusia_affinis,50,22,0.1,2,200.33,1.88,5,Invertivore
Xiphophorus_maculatus,60,20.33,0.45,2.67,50,2.070812778,5,Omnivore
Xiphophorus_hellerii,140,50.8,0.88,3,1320,1.768283706,5,Omnivore
Cyprinodon_pecosensis,50,20,0.5,3,130,1.128598127,1,Omnivore
Fundulus_diaphanus,100,40,1.5,3,142,1.45,2,Invertivore
Fundulus_zebrinus,80,48,2,3,65,1.25,1,Invertivore
Lucania_parva,50,25.4,0.33,3,55.5,1.02,2,Invertivore
Arrhamphus_sclerolepis,400,215,1,7,7500,2.5,1,Herbivore-detritivore
Melanotaenia_duboulayi,110,27,0.8,4,500,0.93,1,Omnivore
Rhadinocentrus_ornatus,80,18,0.8,4,150,1.25,1,Invertivore
Pseudomugil_signifer,80,24,0.5,2,75,1.4,1,Invertivore
Atherina_presbyter,200,55.04874311,1.5,4,224.4,1.504754713,1,Invertivore
Craterocephalus_stercusmuscarum,125,36,0.9,3,500,1.17,1,Omnivore
Craterocephalus_marjoriae,97,33,0.9,2,200,1.02,1,Omnivore
Menidia_beryllina,150,90,1,2,20000,0.93,1,Invertivore
Labidesthes_sicculus,130,70,1,2,785,1,1,Invertivore
Oreochromis_mossambicus,390,100,0.6,10.67,950,3,5,Omnivore
Geophagus_brasiliensis,280,67.5,2.1,8.01692125,1869.5,1.33,4,Herbivore-detritivore
Salaria_fluviatilis,150,10,1,5,725,1,4,Invertivore
Chelon_labrosus,750,295,2,25,4.00E+05,1.3,1,Omnivore
Liza_ramada,622.5,259,2,10,3.00E+05,0.59,1,Omnivore
Mugil_cephalus,1970,340,3,16,5800000,0.9,1,Herbivore-detritivore
Trachystoma_petardi,810,360,4,14,386377.182,0.987513405,1.132377112,Herbivore-detritivore
Ambassis_marianus,122,60,0.8,3,6642,0.7,1,Invertivore
Ambassis_agassizii,80,28,1,4,750,0.53,1,Invertivore
Platichthys_flesus,550,170,2.75,15,1125000,1.1,1,Invertivore
Proterorhinus_semilunaris,95,40,1.5,5,100,1.3,4,Invertivore
Neogobius_fluviatilis,200,87.5,2,6.5,1597.5,1.78,4,Invertivore
Awaous_acritosus,200,70,2,5,3.00E+05,0.3,3,Omnivore
Redigobius_bikolanus,42,20,0.8,3,1500,0.3,3,Invertivore
Oxyeleotris_lineolata,450,250,3,7,2.00E+05,1.75,3,Invertivore-piscivore
Gobiomorphus_coxii,190,60,2,7,150000,0.5,3,Invertivore
Philypnodon_grandiceps,120,42,1,3,2000,1.5,3,Invertivore
Philypnodon_macrostomus,50,25,1,3,250,0.7,3,Invertivore
Gobiomorphus_australis,225,75,3,8,180000,0.5,3,Invertivore
Hypseleotris_compressa,120,50,1,5,32000,0.32,3,Omnivore
Hypseleotris_klunzingeri,60,30,1,3,1350,0.45,3,Invertivore
Hypseleotris_galii,55,20,0.4,3,600,0.64,3,Invertivore
Mogurnda_adspersa,140,55,0.5,3,500,1.03,3,Invertivore
Perccottus_glenii,250,70,2,7,1000,3.8,4,Invertivore-piscivore
Glossamia_aprion,250,70,1,5,500,1.5,5,Invertivore-piscivore
Cottus_caeruleomentum,63,50,1,3,134.2,2.15,4,Invertivore
Cottus_girardi,140,39,2,3,134,1.95,4,Invertivore
